"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"107","Injured Cassualties (Number)","2012","Pedal cyclists","Male","All ages",455
"108","All Killed and Injured Casualties (Number)","2012","Pedal cyclists","Male","All ages",459
"109","Killed Casualties (Number)","2013","Pedal cyclists","Male","All ages",4
"110","Injured Cassualties (Number)","2013","Pedal cyclists","Male","All ages",468
"111","All Killed and Injured Casualties (Number)","2013","Pedal cyclists","Male","All ages",472
"112","Killed Casualties (Number)","2014","Pedal cyclists","Male","All ages",10
"113","Injured Cassualties (Number)","2014","Pedal cyclists","Male","All ages",655
"114","All Killed and Injured Casualties (Number)","2014","Pedal cyclists","Male","All ages",665
"115","Killed Casualties (Number)","2015","Pedal cyclists","Male","All ages",9
"116","Injured Cassualties (Number)","2015","Pedal cyclists","Male","All ages",692
"117","All Killed and Injured Casualties (Number)","2015","Pedal cyclists","Male","All ages",701
"118","Killed Casualties (Number)","2016","Pedal cyclists","Male","All ages",8
"119","Injured Cassualties (Number)","2016","Pedal cyclists","Male","All ages",693
"120","All Killed and Injured Casualties (Number)","2016","Pedal cyclists","Male","All ages",701
"121","Killed Casualties (Number)","2017","Pedal cyclists","Male","All ages",9
"122","Injured Cassualties (Number)","2017","Pedal cyclists","Male","All ages",783
"123","All Killed and Injured Casualties (Number)","2017","Pedal cyclists","Male","All ages",792
"124","Killed Casualties (Number)","2018","Pedal cyclists","Male","All ages",9
"125","Injured Cassualties (Number)","2018","Pedal cyclists","Male","All ages",802
"126","All Killed and Injured Casualties (Number)","2018","Pedal cyclists","Male","All ages",811
"127","Killed Casualties (Number)","2005","Motor cyclists","Male","All ages",53
"128","Injured Cassualties (Number)","2005","Motor cyclists","Male","All ages",443
"129","All Killed and Injured Casualties (Number)","2005","Motor cyclists","Male","All ages",496
"130","Killed Casualties (Number)","2006","Motor cyclists","Male","All ages",26
"131","Injured Cassualties (Number)","2006","Motor cyclists","Male","All ages",420
"132","All Killed and Injured Casualties (Number)","2006","Motor cyclists","Male","All ages",446
"133","Killed Casualties (Number)","2007","Motor cyclists","Male","All ages",33
"134","Injured Cassualties (Number)","2007","Motor cyclists","Male","All ages",329
"135","All Killed and Injured Casualties (Number)","2007","Motor cyclists","Male","All ages",362
"136","Killed Casualties (Number)","2008","Motor cyclists","Male","All ages",28
"137","Injured Cassualties (Number)","2008","Motor cyclists","Male","All ages",432
"138","All Killed and Injured Casualties (Number)","2008","Motor cyclists","Male","All ages",460
"139","Killed Casualties (Number)","2009","Motor cyclists","Male","All ages",25
"140","Injured Cassualties (Number)","2009","Motor cyclists","Male","All ages",391
"141","All Killed and Injured Casualties (Number)","2009","Motor cyclists","Male","All ages",416
"142","Killed Casualties (Number)","2010","Motor cyclists","Male","All ages",16
"143","Injured Cassualties (Number)","2010","Motor cyclists","Male","All ages",344
"144","All Killed and Injured Casualties (Number)","2010","Motor cyclists","Male","All ages",360
"145","Killed Casualties (Number)","2011","Motor cyclists","Male","All ages",17
"146","Injured Cassualties (Number)","2011","Motor cyclists","Male","All ages",279
"147","All Killed and Injured Casualties (Number)","2011","Motor cyclists","Male","All ages",296
"148","Killed Casualties (Number)","2012","Motor cyclists","Male","All ages",16
"149","Injured Cassualties (Number)","2012","Motor cyclists","Male","All ages",300
"150","All Killed and Injured Casualties (Number)","2012","Motor cyclists","Male","All ages",316
"151","Killed Casualties (Number)","2013","Motor cyclists","Male","All ages",24
"152","Injured Cassualties (Number)","2013","Motor cyclists","Male","All ages",244
"153","All Killed and Injured Casualties (Number)","2013","Motor cyclists","Male","All ages",268
"154","Killed Casualties (Number)","2014","Motor cyclists","Male","All ages",23
"155","Injured Cassualties (Number)","2014","Motor cyclists","Male","All ages",262
"156","All Killed and Injured Casualties (Number)","2014","Motor cyclists","Male","All ages",285
"157","Killed Casualties (Number)","2015","Motor cyclists","Male","All ages",21
"158","Injured Cassualties (Number)","2015","Motor cyclists","Male","All ages",300
"159","All Killed and Injured Casualties (Number)","2015","Motor cyclists","Male","All ages",321
"160","Killed Casualties (Number)","2016","Motor cyclists","Male","All ages",20
"161","Injured Cassualties (Number)","2016","Motor cyclists","Male","All ages",333
"162","All Killed and Injured Casualties (Number)","2016","Motor cyclists","Male","All ages",353
"163","Killed Casualties (Number)","2017","Motor cyclists","Male","All ages",19
"164","Injured Cassualties (Number)","2017","Motor cyclists","Male","All ages",323
"165","All Killed and Injured Casualties (Number)","2017","Motor cyclists","Male","All ages",342
"166","Killed Casualties (Number)","2018","Motor cyclists","Male","All ages",15
"167","Injured Cassualties (Number)","2018","Motor cyclists","Male","All ages",426
"168","All Killed and Injured Casualties (Number)","2018","Motor cyclists","Male","All ages",441
"169","Killed Casualties (Number)","2005","All Car users","Male","All ages",148
"170","Injured Cassualties (Number)","2005","All Car users","Male","All ages",2843
"171","All Killed and Injured Casualties (Number)","2005","All Car users","Male","All ages",2991
"172","Killed Casualties (Number)","2006","All Car users","Male","All ages",156
"173","Injured Cassualties (Number)","2006","All Car users","Male","All ages",2674
"174","All Killed and Injured Casualties (Number)","2006","All Car users","Male","All ages",2830
"175","Killed Casualties (Number)","2007","All Car users","Male","All ages",118
"176","Injured Cassualties (Number)","2007","All Car users","Male","All ages",2508
"177","All Killed and Injured Casualties (Number)","2007","All Car users","Male","All ages",2626
"178","Killed Casualties (Number)","2008","All Car users","Male","All ages",102
"179","Injured Cassualties (Number)","2008","All Car users","Male","All ages",3320
"180","All Killed and Injured Casualties (Number)","2008","All Car users","Male","All ages",3422
"181","Killed Casualties (Number)","2009","All Car users","Male","All ages",106
"182","Injured Cassualties (Number)","2009","All Car users","Male","All ages",3420
"183","All Killed and Injured Casualties (Number)","2009","All Car users","Male","All ages",3526
"184","Killed Casualties (Number)","2010","All Car users","Male","All ages",94
"185","Injured Cassualties (Number)","2010","All Car users","Male","All ages",2713
"186","All Killed and Injured Casualties (Number)","2010","All Car users","Male","All ages",2807
"187","Killed Casualties (Number)","2011","All Car users","Male","All ages",57
"188","Injured Cassualties (Number)","2011","All Car users","Male","All ages",2356
"189","All Killed and Injured Casualties (Number)","2011","All Car users","Male","All ages",2413
"190","Killed Casualties (Number)","2012","All Car users","Male","All ages",53
"191","Injured Cassualties (Number)","2012","All Car users","Male","All ages",2654
"192","All Killed and Injured Casualties (Number)","2012","All Car users","Male","All ages",2707
"193","Killed Casualties (Number)","2013","All Car users","Male","All ages",81
"194","Injured Cassualties (Number)","2013","All Car users","Male","All ages",2194
"195","All Killed and Injured Casualties (Number)","2013","All Car users","Male","All ages",2275
"196","Killed Casualties (Number)","2014","All Car users","Male","All ages",68
"197","Injured Cassualties (Number)","2014","All Car users","Male","All ages",2511
"198","All Killed and Injured Casualties (Number)","2014","All Car users","Male","All ages",2579
"199","Killed Casualties (Number)","2015","All Car users","Male","All ages",60
"200","Injured Cassualties (Number)","2015","All Car users","Male","All ages",2362
"201","All Killed and Injured Casualties (Number)","2015","All Car users","Male","All ages",2422
"202","Killed Casualties (Number)","2016","All Car users","Male","All ages",77
"203","Injured Cassualties (Number)","2016","All Car users","Male","All ages",2277
"204","All Killed and Injured Casualties (Number)","2016","All Car users","Male","All ages",2354
"205","Killed Casualties (Number)","2017","All Car users","Male","All ages",52
"206","Injured Cassualties (Number)","2017","All Car users","Male","All ages",2285
"207","All Killed and Injured Casualties (Number)","2017","All Car users","Male","All ages",2337
"208","Killed Casualties (Number)","2018","All Car users","Male","All ages",47
"209","Injured Cassualties (Number)","2018","All Car users","Male","All ages",2234
"210","All Killed and Injured Casualties (Number)","2018","All Car users","Male","All ages",2281
"211","Killed Casualties (Number)","2005","Car drivers","Male","All ages",104
"212","Injured Cassualties (Number)","2005","Car drivers","Male","All ages",1977
"213","All Killed and Injured Casualties (Number)","2005","Car drivers","Male","All ages",2081
"214","Killed Casualties (Number)","2006","Car drivers","Male","All ages",109
"215","Injured Cassualties (Number)","2006","Car drivers","Male","All ages",1888
"216","All Killed and Injured Casualties (Number)","2006","Car drivers","Male","All ages",1997
"217","Killed Casualties (Number)","2007","Car drivers","Male","All ages",85
"218","Injured Cassualties (Number)","2007","Car drivers","Male","All ages",1712
"219","All Killed and Injured Casualties (Number)","2007","Car drivers","Male","All ages",1797
"220","Killed Casualties (Number)","2008","Car drivers","Male","All ages",75
"221","Injured Cassualties (Number)","2008","Car drivers","Male","All ages",2190
"222","All Killed and Injured Casualties (Number)","2008","Car drivers","Male","All ages",2265
"223","Killed Casualties (Number)","2009","Car drivers","Male","All ages",76
"224","Injured Cassualties (Number)","2009","Car drivers","Male","All ages",2155
"225","All Killed and Injured Casualties (Number)","2009","Car drivers","Male","All ages",2231
"226","Killed Casualties (Number)","2010","Car drivers","Male","All ages",60
"227","Injured Cassualties (Number)","2010","Car drivers","Male","All ages",1702
"228","All Killed and Injured Casualties (Number)","2010","Car drivers","Male","All ages",1762
"229","Killed Casualties (Number)","2011","Car drivers","Male","All ages",42
"230","Injured Cassualties (Number)","2011","Car drivers","Male","All ages",1481
"231","All Killed and Injured Casualties (Number)","2011","Car drivers","Male","All ages",1523
"232","Killed Casualties (Number)","2012","Car drivers","Male","All ages",36
"233","Injured Cassualties (Number)","2012","Car drivers","Male","All ages",1640
"234","All Killed and Injured Casualties (Number)","2012","Car drivers","Male","All ages",1676
"235","Killed Casualties (Number)","2013","Car drivers","Male","All ages",61
"236","Injured Cassualties (Number)","2013","Car drivers","Male","All ages",1353
"237","All Killed and Injured Casualties (Number)","2013","Car drivers","Male","All ages",1414
"238","Killed Casualties (Number)","2014","Car drivers","Male","All ages",46
"239","Injured Cassualties (Number)","2014","Car drivers","Male","All ages",1617
"240","All Killed and Injured Casualties (Number)","2014","Car drivers","Male","All ages",1663
"241","Killed Casualties (Number)","2015","Car drivers","Male","All ages",46
"242","Injured Cassualties (Number)","2015","Car drivers","Male","All ages",1555
"243","All Killed and Injured Casualties (Number)","2015","Car drivers","Male","All ages",1601
"244","Killed Casualties (Number)","2016","Car drivers","Male","All ages",60
"245","Injured Cassualties (Number)","2016","Car drivers","Male","All ages",1551
"246","All Killed and Injured Casualties (Number)","2016","Car drivers","Male","All ages",1611
"247","Killed Casualties (Number)","2017","Car drivers","Male","All ages",39
"248","Injured Cassualties (Number)","2017","Car drivers","Male","All ages",1603
"249","All Killed and Injured Casualties (Number)","2017","Car drivers","Male","All ages",1642
"250","Killed Casualties (Number)","2018","Car drivers","Male","All ages",37
"251","Injured Cassualties (Number)","2018","Car drivers","Male","All ages",1603
"252","All Killed and Injured Casualties (Number)","2018","Car drivers","Male","All ages",1640
"253","Killed Casualties (Number)","2005","Car passengers","Male","All ages",44
"254","Injured Cassualties (Number)","2005","Car passengers","Male","All ages",866
"255","All Killed and Injured Casualties (Number)","2005","Car passengers","Male","All ages",910
"256","Killed Casualties (Number)","2006","Car passengers","Male","All ages",47
"257","Injured Cassualties (Number)","2006","Car passengers","Male","All ages",786
"258","All Killed and Injured Casualties (Number)","2006","Car passengers","Male","All ages",833
"259","Killed Casualties (Number)","2007","Car passengers","Male","All ages",33
"260","Injured Cassualties (Number)","2007","Car passengers","Male","All ages",796
"261","All Killed and Injured Casualties (Number)","2007","Car passengers","Male","All ages",829
"262","Killed Casualties (Number)","2008","Car passengers","Male","All ages",27
"263","Injured Cassualties (Number)","2008","Car passengers","Male","All ages",1130
"264","All Killed and Injured Casualties (Number)","2008","Car passengers","Male","All ages",1157
"265","Killed Casualties (Number)","2009","Car passengers","Male","All ages",30
"266","Injured Cassualties (Number)","2009","Car passengers","Male","All ages",1265
"267","All Killed and Injured Casualties (Number)","2009","Car passengers","Male","All ages",1295
"268","Killed Casualties (Number)","2010","Car passengers","Male","All ages",34
"269","Injured Cassualties (Number)","2010","Car passengers","Male","All ages",1011
"270","All Killed and Injured Casualties (Number)","2010","Car passengers","Male","All ages",1045
"271","Killed Casualties (Number)","2011","Car passengers","Male","All ages",15
"272","Injured Cassualties (Number)","2011","Car passengers","Male","All ages",875
"273","All Killed and Injured Casualties (Number)","2011","Car passengers","Male","All ages",890
"274","Killed Casualties (Number)","2012","Car passengers","Male","All ages",17
"275","Injured Cassualties (Number)","2012","Car passengers","Male","All ages",1014
"276","All Killed and Injured Casualties (Number)","2012","Car passengers","Male","All ages",1031
"277","Killed Casualties (Number)","2013","Car passengers","Male","All ages",20
"278","Injured Cassualties (Number)","2013","Car passengers","Male","All ages",841
"279","All Killed and Injured Casualties (Number)","2013","Car passengers","Male","All ages",861
"280","Killed Casualties (Number)","2014","Car passengers","Male","All ages",22
"281","Injured Cassualties (Number)","2014","Car passengers","Male","All ages",894
"282","All Killed and Injured Casualties (Number)","2014","Car passengers","Male","All ages",916
"283","Killed Casualties (Number)","2015","Car passengers","Male","All ages",14
"284","Injured Cassualties (Number)","2015","Car passengers","Male","All ages",807
"285","All Killed and Injured Casualties (Number)","2015","Car passengers","Male","All ages",821
"286","Killed Casualties (Number)","2016","Car passengers","Male","All ages",17
"287","Injured Cassualties (Number)","2016","Car passengers","Male","All ages",726
"288","All Killed and Injured Casualties (Number)","2016","Car passengers","Male","All ages",743
"289","Killed Casualties (Number)","2017","Car passengers","Male","All ages",13
"290","Injured Cassualties (Number)","2017","Car passengers","Male","All ages",682
"291","All Killed and Injured Casualties (Number)","2017","Car passengers","Male","All ages",695
"292","Killed Casualties (Number)","2018","Car passengers","Male","All ages",10
"293","Injured Cassualties (Number)","2018","Car passengers","Male","All ages",631
"294","All Killed and Injured Casualties (Number)","2018","Car passengers","Male","All ages",641
"295","Killed Casualties (Number)","2005","Other road users","Male","All ages",27
"296","Injured Cassualties (Number)","2005","Other road users","Male","All ages",745
"297","All Killed and Injured Casualties (Number)","2005","Other road users","Male","All ages",772
"298","Killed Casualties (Number)","2006","Other road users","Male","All ages",25
"299","Injured Cassualties (Number)","2006","Other road users","Male","All ages",733
"300","All Killed and Injured Casualties (Number)","2006","Other road users","Male","All ages",758
"301","Killed Casualties (Number)","2007","Other road users","Male","All ages",37
"302","Injured Cassualties (Number)","2007","Other road users","Male","All ages",613
"303","All Killed and Injured Casualties (Number)","2007","Other road users","Male","All ages",650
"304","Killed Casualties (Number)","2008","Other road users","Male","All ages",27
"305","Injured Cassualties (Number)","2008","Other road users","Male","All ages",634
"306","All Killed and Injured Casualties (Number)","2008","Other road users","Male","All ages",661
"307","Killed Casualties (Number)","2009","Other road users","Male","All ages",18
"308","Injured Cassualties (Number)","2009","Other road users","Male","All ages",562
"309","All Killed and Injured Casualties (Number)","2009","Other road users","Male","All ages",580
"310","Killed Casualties (Number)","2010","Other road users","Male","All ages",15
"311","Injured Cassualties (Number)","2010","Other road users","Male","All ages",554
"312","All Killed and Injured Casualties (Number)","2010","Other road users","Male","All ages",569
"313","Killed Casualties (Number)","2011","Other road users","Male","All ages",14
"314","Injured Cassualties (Number)","2011","Other road users","Male","All ages",511
"315","All Killed and Injured Casualties (Number)","2011","Other road users","Male","All ages",525
"316","Killed Casualties (Number)","2012","Other road users","Male","All ages",15
"317","Injured Cassualties (Number)","2012","Other road users","Male","All ages",444
"318","All Killed and Injured Casualties (Number)","2012","Other road users","Male","All ages",459
"319","Killed Casualties (Number)","2013","Other road users","Male","All ages",15
"320","Injured Cassualties (Number)","2013","Other road users","Male","All ages",411
"321","All Killed and Injured Casualties (Number)","2013","Other road users","Male","All ages",426
"322","Killed Casualties (Number)","2014","Other road users","Male","All ages",11
"323","Injured Cassualties (Number)","2014","Other road users","Male","All ages",480
"324","All Killed and Injured Casualties (Number)","2014","Other road users","Male","All ages",491
"325","Killed Casualties (Number)","2015","Other road users","Male","All ages",10
"326","Injured Cassualties (Number)","2015","Other road users","Male","All ages",464
"327","All Killed and Injured Casualties (Number)","2015","Other road users","Male","All ages",474
"328","Killed Casualties (Number)","2016","Other road users","Male","All ages",8
"329","Injured Cassualties (Number)","2016","Other road users","Male","All ages",501
"330","All Killed and Injured Casualties (Number)","2016","Other road users","Male","All ages",474
"331","Killed Casualties (Number)","2017","Other road users","Male","All ages",12
"332","Injured Cassualties (Number)","2017","Other road users","Male","All ages",455
"333","All Killed and Injured Casualties (Number)","2017","Other road users","Male","All ages",467
"334","Killed Casualties (Number)","2018","Other road users","Male","All ages",9
"335","Injured Cassualties (Number)","2018","Other road users","Male","All ages",532
"336","All Killed and Injured Casualties (Number)","2018","Other road users","Male","All ages",541
"337","Killed Casualties (Number)","2005","All road users","Female","All ages",102
"338","Injured Cassualties (Number)","2005","All road users","Female","All ages",3131
"339","All Killed and Injured Casualties (Number)","2005","All road users","Female","All ages",3233
"340","Killed Casualties (Number)","2006","All road users","Female","All ages",97
"341","Injured Cassualties (Number)","2006","All road users","Female","All ages",3268
"342","All Killed and Injured Casualties (Number)","2006","All road users","Female","All ages",3365
"343","Killed Casualties (Number)","2007","All road users","Female","All ages",85
"344","Injured Cassualties (Number)","2007","All road users","Female","All ages",3157
"345","All Killed and Injured Casualties (Number)","2007","All road users","Female","All ages",3242
"346","Killed Casualties (Number)","2008","All road users","Female","All ages",75
"347","Injured Cassualties (Number)","2008","All road users","Female","All ages",3908
"348","All Killed and Injured Casualties (Number)","2008","All road users","Female","All ages",3983
"349","Killed Casualties (Number)","2009","All road users","Female","All ages",56
"350","Injured Cassualties (Number)","2009","All road users","Female","All ages",3962
"351","All Killed and Injured Casualties (Number)","2009","All road users","Female","All ages",4018
"352","Killed Casualties (Number)","2010","All road users","Female","All ages",46
"353","Injured Cassualties (Number)","2010","All road users","Female","All ages",3440
"354","All Killed and Injured Casualties (Number)","2010","All road users","Female","All ages",3486
"355","Killed Casualties (Number)","2011","All road users","Female","All ages",56
"356","Injured Cassualties (Number)","2011","All road users","Female","All ages",2936
"357","All Killed and Injured Casualties (Number)","2011","All road users","Female","All ages",2992
"358","Killed Casualties (Number)","2012","All road users","Female","All ages",54
"359","Injured Cassualties (Number)","2012","All road users","Female","All ages",3250
"360","All Killed and Injured Casualties (Number)","2012","All road users","Female","All ages",3304
"361","Killed Casualties (Number)","2013","All road users","Female","All ages",46
"362","Injured Cassualties (Number)","2013","All road users","Female","All ages",2803
"363","All Killed and Injured Casualties (Number)","2013","All road users","Female","All ages",2849
"364","Killed Casualties (Number)","2014","All road users","Female","All ages",58
"365","Injured Cassualties (Number)","2014","All road users","Female","All ages",3389
"366","All Killed and Injured Casualties (Number)","2014","All road users","Female","All ages",3447
"367","Killed Casualties (Number)","2015","All road users","Female","All ages",40
"368","Injured Cassualties (Number)","2015","All road users","Female","All ages",3295
"369","All Killed and Injured Casualties (Number)","2015","All road users","Female","All ages",3335
"370","Killed Casualties (Number)","2016","All road users","Female","All ages",48
"371","Injured Cassualties (Number)","2016","All road users","Female","All ages",3238
"372","All Killed and Injured Casualties (Number)","2016","All road users","Female","All ages",3286
"373","Killed Casualties (Number)","2017","All road users","Female","All ages",40
"374","Injured Cassualties (Number)","2017","All road users","Female","All ages",3283
"375","All Killed and Injured Casualties (Number)","2017","All road users","Female","All ages",3323
"376","Killed Casualties (Number)","2018","All road users","Female","All ages",30
"377","Injured Cassualties (Number)","2018","All road users","Female","All ages",3385
"378","All Killed and Injured Casualties (Number)","2018","All road users","Female","All ages",3415
"379","Killed Casualties (Number)","2005","Pedestrians","Female","All ages",21
"380","Injured Cassualties (Number)","2005","Pedestrians","Female","All ages",398
"381","All Killed and Injured Casualties (Number)","2005","Pedestrians","Female","All ages",419
"382","Killed Casualties (Number)","2006","Pedestrians","Female","All ages",22
"383","Injured Cassualties (Number)","2006","Pedestrians","Female","All ages",384
"384","All Killed and Injured Casualties (Number)","2006","Pedestrians","Female","All ages",406
"385","Killed Casualties (Number)","2007","Pedestrians","Female","All ages",28
"386","Injured Cassualties (Number)","2007","Pedestrians","Female","All ages",362
"387","All Killed and Injured Casualties (Number)","2007","Pedestrians","Female","All ages",390
"388","Killed Casualties (Number)","2008","Pedestrians","Female","All ages",17
"389","Injured Cassualties (Number)","2008","Pedestrians","Female","All ages",480
"390","All Killed and Injured Casualties (Number)","2008","Pedestrians","Female","All ages",497
"391","Killed Casualties (Number)","2009","Pedestrians","Female","All ages",14
"392","Injured Cassualties (Number)","2009","Pedestrians","Female","All ages",461
"393","All Killed and Injured Casualties (Number)","2009","Pedestrians","Female","All ages",475
"394","Killed Casualties (Number)","2010","Pedestrians","Female","All ages",12
